id,first_name,last_name,email,password_hash,phone,team_id,streak_days,created_at,updated_at
1,Cipriano,Oliboni,claudia40@example.net,e48a6bdbae53df1e03584c63441ffa6e0fea3c382ce7856e0270bfec7bc1cae3,+39 3783618499,1,3,2025-08-07 22:56:30.440106,2025-11-07 18:20:52.552394
2,Antonino,Gentilini,bernardo31@example.com,f8dbd825b20141fd5d57991cd13592144920555487a56b3354ee2452bd77e4ea,037655341,1,0,2025-02-20 18:42:45.454437,2025-11-07 18:20:52.552535
3,Nino,Jilani,giuliettamocenigo@example.org,92aa91f91a0a1660cc8b38a2f9fe97b1c0e1d0452bed70d894a0db7b5d310f9a,+39 39156413936,1,8,2025-10-02 22:16:28.685382,2025-11-07 18:20:52.552705
4,Evangelista,Sauli,giustinocilea@example.org,e800ed97f10c402b7f4e3a65519a98190824f03558ce2fe7e5ad543f80d6505b,3489696531,1,7,2025-08-23 20:53:10.230453,2025-11-07 18:20:52.552825
5,Sonia,Capecchi,elianacuratoli@example.net,2ad65417b39b8b803218700a5393303946d02d0e26267e06667390f0f2f8c5b1,+39 071697848,1,7,2025-07-31 20:25:58.857303,2025-11-07 18:20:52.552945
6,Adelasia,Interiano,costanzo46@example.org,d95e5209182f0cd4a959c0a71879d0ac7a281c48cd8f1a8b135990a337d64a29,370182814,1,4,2025-04-27 04:46:46.385593,2025-11-07 18:20:52.553056
7,Ernesto,Vattimo,mocciaseverino@example.org,b3bb9d1e92c7bbea563322d9e3093734aef147b530cf2c33e3e35cbd4485493a,379143039,1,3,2025-08-16 10:49:16.980773,2025-11-07 18:20:52.553220
8,Patrizia,Bompiani,dionigisiffredi@example.net,ece8103a219b9d82946c31c3963e497bd26cffb46f4807d473b498b981b1c315,37763834671,1,2,2025-03-19 00:57:58.618024,2025-11-07 18:20:52.553337
9,Azeglio,Moretti,visintinigianmarco@example.net,20a0ccbef273b8e890efdae5f523a8ccd718e5b6a96d465bd77772ad0d43b29a,+39 3810310517,1,13,2025-03-08 13:51:09.418210,2025-11-07 18:20:52.553451
10,Donatello,Serraglio,mercedesserraglio@example.com,8111b62d5150f0ec6dc6a65e87fa1f3e8edcb094d842ab4d6dbb0a06e5b152bc,+39 333656670,1,1,2025-05-06 02:53:22.360753,2025-11-07 18:20:52.553565
11,Martino,Cantimori,fredofavata@example.net,20a872b8c9b0db8dce86954f4d9357d44e1910fba621feeaf2544f39dfe8a25c,042147317,2,0,2025-07-22 15:55:24.315395,2025-11-07 18:20:52.553683
12,Adriana,Anguillara,ginesefabio@example.com,47d90aefb1beb9aab9a705930a934bb0a1c9081123fad2fcc4ccd70adb813087,+39 37566026044,2,2,2025-05-12 10:56:12.995225,2025-11-07 18:20:52.553793
13,Lisa,Vivaldi,mcostanzi@example.com,e663ea28d272104306cdbe5e1bdf63f270dac7130db90d477d3e46658d09798d,+39 0942805008,2,6,2025-01-18 16:13:39.673453,2025-11-07 18:20:52.553900
14,Torquato,Botticelli,bartolomeoboldu@example.net,ecedeeec059c11c58d4697924b19aec9ab61786d7afa84e7ded35bd91387df7f,0344939909,2,7,2025-06-25 15:39:32.297014,2025-11-07 18:20:52.554016
15,Luchino,Gulotta,gemmamazzocchi@example.org,80a50e0ed6bc260ffa9e6aeb490b71ad1ce60b59212fb2b171a610f8f8dd16a3,+39 336475107,2,0,2025-06-17 01:51:51.707118,2025-11-07 18:20:52.554142
16,Tonino,Impastato,mauriliobombieri@example.org,6ce926c292d2e0733313e9e9e91b0b1c205692dfe40c773c9a94f52910f4878d,+39 0774849801,2,6,2025-03-24 04:28:43.744157,2025-11-07 18:20:52.554252
17,Veronica,Canevascini,guarinolombardo@example.net,328d361b8bf799ef9f82ce0100d8f905fe6afb12277ed567e9068b78ffc8e6c9,0429487404,2,13,2025-01-14 16:48:51.846816,2025-11-07 18:20:52.554373
18,Mariano,Ceschi,ernesto78@example.net,ccf67d8a8cd8e7d55bd8d4d2386a194f7186d7d0f1e09a87dec3417f8268c296,+39 0342128052,2,7,2025-01-13 23:58:27.016934,2025-11-07 18:20:52.554487
19,Mirco,Barsanti,giacobbe31@example.com,6c2f18a3cfb25601a15b31778316886e15672e1bc32f1b970523a780a9190f48,3783923220,2,14,2025-08-17 21:33:14.367976,2025-11-07 18:20:52.554592
20,Mariano,Polizzi,goffredocuomo@example.net,4a056bb3989b8d74e118f9bca46342c9a0a66ab3bec6647241596c585f9d7709,+39 373733754,2,8,2025-01-08 08:29:51.302284,2025-11-07 18:20:52.554710
21,Fredo,Piacentini,gustavo14@example.com,5d35034b058415a1641d89ef6bd925b5d2df91470b866101da708b409a9d2e4b,3388501420,3,0,2025-07-05 09:26:09.218126,2025-11-07 18:20:52.554819
22,Matteo,Mazzini,htornatore@example.com,0a5e70d68846f4c72a7eeb510fb3b81d83d136919421988cb7229be4181369cd,+39 0510608836,3,5,2025-10-22 21:02:09.289803,2025-11-07 18:20:52.554927
23,Marco,Mazzini,mantegnatonino@example.com,1686722cc2e59a1679c5be38ba0c4e744ee746d585a42868de920e34092cc58a,07344823626,3,13,2025-06-20 06:42:22.665429,2025-11-07 18:20:52.555036
24,Achille,Marenzio,giacobbe69@example.net,8f5bfd940218a10739ae331333324948a4e6f08090d6ea160dbaf9aacd6aefc3,0775738728,3,10,2025-07-26 07:15:10.025189,2025-11-07 18:20:52.555163
25,Donatella,Monti,gibiliscogiada@example.com,b9ebadbe12e95ad67ee6ffdb8f0155701bd1b785244f3a4a768823896238c75a,+39 0371003796,3,8,2025-10-03 09:07:02.087138,2025-11-07 18:20:52.555273
26,Aria,Ferrari,ztagliafierro@example.org,c99c727f09274a6c5e39b67233235ab21e58c70fa25d7a1e261a72e0d94831d5,+39 3505163280,3,4,2025-10-13 02:48:37.596569,2025-11-07 18:20:52.555381
27,Dario,Saraceno,ninascarpa@example.net,b9f606a508bb09c73a86258c3b7662a4d1a3c3df90efc72e93ecfc1b696a5dd4,37167986827,3,6,2025-03-22 13:08:26.554246,2025-11-07 18:20:52.555493
